  №                     Имя   Энергия    Убийства    Шаги    Очки   Баллы

  1            BaseRobot(5)       710           1     100     810       5
  2               robot2(2)       784           0     100     784       4
  3                  robot2       781           0     100     781       4
  4               robot2(3)       780           0     100     780       3
  5            BaseRobot(6)       728           0     100     728       3
  6            BaseRobot(4)       688           0     100     688       3
  7                  robot1       688           0     100     688       3
  8            BaseRobot(2)       676           0     100     676       3
  9            BaseRobot(3)       664           0     100     664       3
 10            BaseRobot(1)       662           0     100     662       3
 11               robot1(1)       576           0     100     576       2
 12               robot2(1)         0           0      13       0       2
