  №                     Имя   Энергия    Убийства    Шаги    Очки   Баллы

  1               robot2(2)       999           1     100    1099       5
  2               robot2(1)       991           1     100    1091       4
  3            BaseRobot(1)         0           2      90     200       4
  4                  robot1         0           2      60     200       3
  5                  robot2         0           1      74     100       3
  6            BaseRobot(2)         0           1      57     100       3
  7            BaseRobot(3)         0           1      48     100       3
  8               robot1(1)         0           0      45       0       3
  9            BaseRobot(6)         0           0      39       0       3
 10            BaseRobot(5)         0           0      18       0       3
 11            BaseRobot(4)         0           0      12       0       2
