  №                     Имя   Энергия    Убийства    Шаги    Очки   Баллы

  1               robot2(1)       993           1     100    1093       5
  2            BaseRobot(5)       999           0     100     999       4
  3               robot2(2)       993           0     100     993       4
  4                  robot2       992           0     100     992       3
  5                  robot1       751           2     100     951       3
  6            BaseRobot(4)         0           1      64     100       3
  7            BaseRobot(3)         0           0      86       0       3
  8            BaseRobot(1)         0           0      54       0       3
  9            BaseRobot(2)         0           0      47       0       3
